Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Apak Construct;Numéro de téléphone: 0492 08 77 46;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;OUI;NOT_FOUND;FALSE
Carrelage Bruno Charleroi;Numéro de téléphone: 071 32 93 60;http://www.carrelagebruno.be/;carrelage.bruno@skynet.be;NON;OUI;NOT_FOUND;TRUE
Carrelages Carlo;Numéro de téléphone: 071 32 25 40;http://www.carrelages-carlo.be/;NOT_FOUND;NON;NON;NOT_FOUND;TRUE
Giancaterino Piero Carreleur - chapiste-Gyproc -Douche italienne -Terasse;Numéro de téléphone: 0488 47 40 91;https://www.facebook.com/gpcarrelage/;giancaterinop@outlook.com;NON;OUI;Shopify;TRUE
Go Stock Carrelage Charleroi;Numéro de téléphone: 071 11 93 70;http://www.gostock.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Renov-Macedo;Numéro de téléphone: 0488 88 44 28;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
bp carrelage;Numéro de téléphone: 0487 80 09 37;http://www.bpcarrelage.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Tafsquare;Numéro de téléphone: 02 808 30 83;https://www.tafsquare.com/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Proceram;Numéro de téléphone: 0487 33 76 50;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
GROUPE-RHINO ENTREPRISE DU BATIMENT;NOT_FOUND;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Tilesconcept;Numéro de téléphone: 0496 38 68 04;http://www.tilesconcept.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
MTG Construct - Entreprise de rénovation à Charleroi;Numéro de téléphone: 0475 53 57 38;http://mtgconstruct.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Claude Stablum;Numéro de téléphone: 0478 40 27 48;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;OUI;NOT_FOUND;FALSE
Jardi Terrassement pavage Charleroi;Numéro de téléphone: 0493 13 13 79;http://www.jardi.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Ballieu Pascal;Numéro de téléphone: 071 33 09 02;https://www.google.com/maps/place/Centre+de+comp%C3%A9tence+Construform+Hainaut+-+Site+de+Ch%C3%A2telineau/data=!4m7!3m6!1s0x47c222c7b76702f9:0x807a1ef5c2e862b1!8m2!3d50.4357493!4d4.5112897!16s%2Fg%2F1q2wk0q8z!19sChIJ-QJnt8ciwkcRsWLowvUeeoA;NOT_FOUND;NON;OUI;NOT_FOUND;FALSE
Regnier Bastien;Numéro de téléphone: 0475 20 22 90;https://www.regnierbastien.be/;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;NON;OUI;Wix;TRUE
