Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
A1Art architectes;Numéro de téléphone: 0497 80 50 47;https://www.a1art.be/;groupe.a1art@gmail.com;OUI;OUI;NOT_FOUND;TRUE
SOON Architectes;Numéro de téléphone: 0470 56 53 32;https://soonarchitectes.be/;info@soonarchitectes.be;NON;OUI;WordPress;FALSE
Artera Architectes;Numéro de téléphone: 065 59 51 54;http://www.artera.be/;NOT_FOUND;NON;OUI;WordPress;FALSE
A&G Atelier d'architecture;Numéro de téléphone: 065 80 32 22;http://www.ag-archi.com/;info@ag-archi.com;NON;OUI;WordPress;TRUE
UMONS - Faculté d'Architecture & d'Urbanisme;Numéro de téléphone: 065 55 48 10;https://web.umons.ac.be/fau/fr/;info.archi@umons.ac.be;NON;OUI;WordPress;FALSE
Axiome Architecture;Numéro de téléphone: 0489 53 52 18;http://www.axiome-architecture.com/;NOT_FOUND;NON;OUI;WordPress;TRUE
S. A. G. E. Mons, Architecte;Numéro de téléphone: 065 31 22 02;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Crepin Architecture;Numéro de téléphone: 065 56 54 79;http://www.crepin.archi/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Atelier D'Architectes Aktepe-Naem;Numéro de téléphone: 065 72 85 66;http://www.aktepenaem.be/contact;NOT_FOUND;NON;OUI;WordPress;FALSE
VORTEX atelier d'architecture;Numéro de téléphone: 0473 44 61 54;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Architecture Polytech Mons | UMONS;Numéro de téléphone: 065 37 45 31;https://www.facebook.com/Architecture-Polytech-Mons-UMONS-243735325994968;archi.polytech@umons.ac.be;NON;OUI;Wix;TRUE
Plan 7 Architecture et Bureau d'Etudes;Numéro de téléphone: 065 84 25 54;http://www.plan7.be/;secretariat@plan7.be;NON;OUI;Wix;TRUE
Epur Architecture;Numéro de téléphone: 0476 84 77 06;https://www.facebook.com/EPUR.Architecture/;NOT_FOUND;NON;OUI;Wix;TRUE
archi2D - SRL;Numéro de téléphone: 065 87 17 87;http://archi2d.be/;info@archi2d.besite;NON;NON;NOT_FOUND;TRUE
Adem;Numéro de téléphone: 065 39 72 60;http://www.adem.eu/;info@adem.eu;NON;OUI;NOT_FOUND;TRUE
Architecte Olivier Bertieaux;Numéro de téléphone: 065 95 03 47;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Havresac;Numéro de téléphone: 0478 63 17 68;http://havresac.be/;contact@havresac.be;NON;OUI;Wix;TRUE
Raphael Barigand Architecte;Numéro de téléphone: 065 84 44 26;http://www.raphaelbarigand.be/;archi@raphaelbarigand.be;NON;OUI;WordPress;TRUE
Vienne / Michel;Numéro de téléphone: 065 35 17 56;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Ordre des Architectes - Conseil de la province de Hainaut;Numéro de téléphone: 0471 09 33 39;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
William Pierart Architecture;Numéro de téléphone: 0476 76 13 60;https://www.wp-architecture.com/;william.pierart@wp-architecture.com;NON;OUI;Wix;TRUE
Sofateliers Architectes sc/sprl;Numéro de téléphone: 065 22 12 70;http://sofateliers.blogspot.com/;fs@sofateliers.be;NON;OUI;NOT_FOUND;TRUE
JA-architecture;Numéro de téléphone: 0478 66 71 93;http://www.ja-architecture.be/;NOT_FOUND;NON;OUI;WordPress;FALSE
Cuignet Remy;Numéro de téléphone: 0495 71 01 93;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Architecture et Création sprl;Numéro de téléphone: 065 36 46 07;https://www.architecture-creation.com/;NOT_FOUND;NON;OUI;WordPress;TRUE
Ateliers d'Architecture & Urbanisme Dupré - François & Coll.;Numéro de téléphone: 065 33 66 06;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Bureau d'Architectes Ematone;Numéro de téléphone: 0475 40 53 67;http://www.ematone.be/;info@estievenart.be;NON;OUI;NOT_FOUND;TRUE
Cabinet d’architecture François grandjean;Numéro de téléphone: 0477 97 06 23;http://www.archigrandjean.eu/;archigrandjean@gmail.com;NON;OUI;WordPress;TRUE
CAP'ARCHITECTURE-srl;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
AOR Architecture;Numéro de téléphone: 0476 82 44 55;http://www.aor-architecture.be/;pierre-pol.moreau@aor-architecture.be;NON;OUI;NOT_FOUND;FALSE
M2 Engineering;Numéro de téléphone: 065 33 66 93;http://www.m2engineering.eu/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Rorive-bourguet Geneviève;Numéro de téléphone: 065 35 54 93;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Dzign Architecture;Numéro de téléphone: 0455 12 93 13;https://www.dzignarchitecture.com/;akram-yk@dzignarchitecture.com;NON;OUI;NOT_FOUND;TRUE
HomEco;Numéro de téléphone: 0474 83 37 77;http://www.homeco.be/;info@homeco.be;NON;OUI;NOT_FOUND;TRUE
Marteleur et Mauroy;Numéro de téléphone: 065 35 53 91;https://www.archionweb.be/Public/Company/339;NOT_FOUND;NON;NON;NOT_FOUND;FALSE
Atelier d'Architecture Deloose-Elmas;Numéro de téléphone: 065 84 37 70;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Defaut / Christelle;Numéro de téléphone: 065 72 44 57;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Scoubeau / Bernard;Numéro de téléphone: 065 36 22 25;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
L'hoir p.;Numéro de téléphone: 065 84 36 08;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Urban Nation & Gicart-Renaud, Architectes;Numéro de téléphone: 065 34 66 59;https://unagr.eu/;mons@unagr.eu;NON;OUI;NOT_FOUND;TRUE
Marcel Barattucci;Numéro de téléphone: 065 36 46 07;http://www.barattucci.com/mb/x_presentation.htm;NOT_FOUND;NON;NON;NOT_FOUND;FALSE
Vaccarello / Luigi;Numéro de téléphone: 0478 51 99 24;http://www.vaccarello.be/;luigi@vaccarello.be;NON;NON;NOT_FOUND;TRUE
Forlante / Vincent;Numéro de téléphone: 0498 07 97 37;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Damien Lucca - Architecte;Numéro de téléphone: 0495 57 17 10;https://www.damien-lucca-architecte.be/;NOT_FOUND;NON;OUI;WordPress;TRUE
H2A Ingénieur architecte & Associés SOC.CIV. SRL;Numéro de téléphone: 0476 31 08 01;https://h2a-architectes.be/;H2A.contact@gmail.com;NON;OUI;WordPress;TRUE
Architettura Doré;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Dudkowiak / H.;Numéro de téléphone: 0494 33 38 73;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Estordeur / Frédéric;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Bureau d'Architecture et de Gestion Immobilière;Numéro de téléphone: 064 36 77 94;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Comblez / Damien;Numéro de téléphone: 065 36 14 16;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Laurence Auverdin Architecte d'Intérieur;Numéro de téléphone: 0476 94 68 74;http://www.laurenceauverdin.be/;laurenceauverdin@yahoo.fr;NON;OUI;WordPress;TRUE
Farla Pierre;NOT_FOUND;http://www.farlasquare.be/;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
AMEL in TERIOR - Architecte d'intérieur;Numéro de téléphone: 0479 49 77 34;http://www.amelinterior.com/;NOT_FOUND;NON;OUI;Shopify;FALSE
Sonnet Guillaume;Numéro de téléphone: 065 73 07 46;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Tiffany Loader Architecte d'intérieur;Numéro de téléphone: 0493 74 89 59;http://www.tiffanyloader.com/;info@tiffanyloader.com;NON;OUI;Wix;TRUE
Brouillard / Henri;Numéro de téléphone: 065 33 75 03;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Kaléo Création d'intérieur;Numéro de téléphone: 0498 56 70 79;http://www.kaleo.be/;info@kaleo.be;NON;OUI;WordPress;FALSE
Kasprowiak / Jean-Michel;Numéro de téléphone: 065 88 53 89;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Benabdelouahed / Mohamed;Numéro de téléphone: 065 31 33 25;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
KMArchitecture;Numéro de téléphone: 0478 12 44 22;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Elodie Mairesse - Architecte d'intérieur;Numéro de téléphone: 0498 29 63 44;https://www.elodiemairesse.com/;info@elodiemairesse.com;NON;OUI;WordPress;TRUE
Joly / Lucas;Numéro de téléphone: 065 87 10 67;https://www.heures.be/joly-lucas/mons/1;NOT_FOUND;NON;OUI;NOT_FOUND;TRUE
Arnaud Parisis Architecte;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Need4b;Numéro de téléphone: 065 23 50 42;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
H&V Holoffe Vermeersch Architecture;NOT_FOUND;https://www.hv-architecture.be/;holoffe.vermeersch@hv-architecture.be;NON;OUI;WordPress;FALSE
VOILÀ • architecte d'intérieur;Numéro de téléphone: 0488 61 12 40;https://www.voilanotresite.com/;NOT_FOUND;NON;OUI;Webflow;TRUE
Michel / Micciche;Numéro de téléphone: 065 33 87 73;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
A7 architecture;Numéro de téléphone: 0475 78 40 83;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Belmir / Mohammed;Numéro de téléphone: 0485 95 60 57;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Minimalist Studio;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Roch-André / A.;Numéro de téléphone: 065 31 88 03;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Poulain Architecture;Numéro de téléphone: 065 31 94 54;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Urbain / Pierre;Numéro de téléphone: 065 33 70 44;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Poly'art scrl;Numéro de téléphone: 065 34 90 75;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Architecte Xavier-Bachelart;Numéro de téléphone: 0499 61 04 09;http://www.homeco.be/;info@homeco.be;NON;OUI;NOT_FOUND;TRUE
Geofroid Eric Architecte;Numéro de téléphone: 0476 90 82 73;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Architecture et Energie;Numéro de téléphone: 0495 12 00 72;http://www.architecture-energie.be/;NOT_FOUND;NON;OUI;WordPress;FALSE
Bauwens Hugo, Architecte;Numéro de téléphone: 065 58 73 69;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Eric De Clercq architecte Soc.Civ. Sprl;Numéro de téléphone: 065 84 03 21;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Kandemir Ahmet;Numéro de téléphone: 065 65 51 28;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
BPRG // Nikola BRESART, Jérome PETENO, Stéphane ROUSSEAU & Charle GERARDI Architecture;Numéro de téléphone: 0475 34 04 28;http://www.bprg-architecture.be/contact.php;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
