Nom;Téléphone;Site;Email_Scrapé;Pixel_FB;Mobile_OK;CMS;IA_Relevant
Atelier D'architecture Carré 7 sprl;Numéro de téléphone: 0498 42 41 64;http://www.carre7.com/;info@carre7.com;NON;OUI;WordPress;FALSE
Groupe Gamma Architectes;Numéro de téléphone: 064 26 45 11;http://www.groupe-gamma.be/;architectes@groupe-gamma.be;NON;OUI;NOT_FOUND;FALSE
Atelier Anne-Sophie Baudry;Numéro de téléphone: 0498 68 54 93;https://www.annesophiebaudry.be/;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;NON;OUI;WordPress;TRUE
Bureau d'Architecture De Nora, Architecte;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Stephane Posty Ingenieur Civil Architecte;Numéro de téléphone: 064 84 92 47;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
CS architecte;Numéro de téléphone: 0493 50 74 77;https://cs-architecte.be/;info@cs-architecte.be;NON;OUI;WordPress;FALSE
Studio D2A - Architectes Associes;Numéro de téléphone: 064 45 17 35;https://www.d2a.be/;studio@d2a.be;NON;OUI;NOT_FOUND;TRUE
Housing Architecture;Numéro de téléphone: 0495 51 43 66;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Atelier d'Architecture A-Traits;Numéro de téléphone: 064 21 52 56;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Atelier d’Architecture Adrien Deplano;Numéro de téléphone: 0496 28 93 29;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Vella Concept;NOT_FOUND;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Insalaco G. Atelier d'Architecture sprl;Numéro de téléphone: 0495 51 34 45;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Piparo Marco Architecte;Numéro de téléphone: 0479 76 23 48;https://www.facebook.com/profile.php;NOT_FOUND;NON;OUI;Shopify;FALSE
AIL;Numéro de téléphone: 064 28 44 15;http://www.ail.be/;ail@ail.be;NON;NON;NOT_FOUND;FALSE
Baudoux / Frederique;Numéro de téléphone: 0475 47 08 79;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Bellens / Stephan;Numéro de téléphone: 0497 35 99 47;http://www.architectebellens.be/;605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com;NON;OUI;WordPress;TRUE
MVI Architecte;Numéro de téléphone: 0498 45 58 47;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
Damoiseau / Dominique;Numéro de téléphone: 064 22 70 12;NOT_FOUND;NOT_FOUND;NON;NON;NOT_FOUND;UNKNOWN
